code_index,code_id,code_ca,id,category,trace,index,labs,epic,rna_seq,wgs,atac_seq
G1-1,G1-91,G1-[Human Feotal Primary Tissue],91,[Human Feotal Primary Tissue],G1,1,Edinburgh,TRUE,TRUE,TRUE,FALSE
G1-1-1,G1-91-307,G1-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line],307,[Human Neural Stem Cell Line],91,1,UCL,TRUE,TRUE,TRUE,FALSE
G1-1-1-1,G1-91-307-21,G1-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line]-[Isogenic Gene Cell Line],21,[Isogenic Gene Cell Line],307,1,UCL,TRUE,TRUE,FALSE,TRUE
G1-1-2,G1-91-262,G1-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line],262,[Human Neural Stem Cell Line],91,2,Edinburgh,TRUE,FALSE,TRUE,TRUE
G1-1-2-1,G1-91-262-192,G1-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line]-[Isogenic Gene Cell Line],192,[Isogenic Gene Cell Line],262,1,Spain,TRUE,FALSE,FALSE,TRUE
G1-2,G1-44,G1-[Human Feotal Primary Tissue],44,[Human Feotal Primary Tissue],G1,2,UCL,TRUE,FALSE,FALSE,TRUE
G1-3,G1-484,G1-[Human Feotal Primary Tissue],484,[Human Feotal Primary Tissue],G1,3,UCL,FALSE,TRUE,FALSE,TRUE
G1-3-1,G1-484-77,G1-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line],77,[Human Neural Stem Cell Line],484,1,Spain,TRUE,FALSE,TRUE,TRUE
G1-3-1-1,G1-484-77-60,G1-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line]-[Isogenic Gene Cell Line],60,[Isogenic Gene Cell Line],77,1,Spain,FALSE,TRUE,FALSE,TRUE
G1-3-2,G1-484-452,G1-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line],452,[Human Neural Stem Cell Line],484,2,UCL,TRUE,FALSE,FALSE,TRUE
G10-1,G10-328,G10-[Human Feotal Primary Tissue],328,[Human Feotal Primary Tissue],G10,1,UCL,TRUE,TRUE,FALSE,TRUE
G10-1-1,G10-328-411,G10-[Human Feotal Primary Tissue]-[Human Neural Stem Cell Line],411,[Human Neural Stem Cell Line],328,1,Edinburgh,FALSE,FALSE,FALSE,FALSE
