code_index,code_id,code_ca,id,category,trace,index,labs,epic,rna_seq,wgs,atac_seq
G1-1,G1-54,G1,54,[Human Feotal Primary Tissue],G1,1,Edinburgh,FALSE,FALSE,FALSE,TRUE
G1-1-1,G1-54-490,G1,490,[Human Neural Stem Cell Line],54,1,Spain,TRUE,TRUE,TRUE,FALSE
G1-1-1-1,G1-54-490-125,G1,125,[Isogenic Gene Cell Line],490,1,Edinburgh,TRUE,TRUE,TRUE,TRUE
G1-1-2,G1-54-143,G1,143,[Human Neural Stem Cell Line],54,2,UCL,TRUE,TRUE,FALSE,TRUE
G1-1-2-1,G1-54-143-167,G1,167,[Isogenic Gene Cell Line],143,1,Edinburgh,TRUE,TRUE,TRUE,TRUE
G1-2,G1-84,G1,84,[Human Feotal Primary Tissue],G1,2,UCL,TRUE,TRUE,TRUE,FALSE
G1-2-1,G1-84-32,G1,32,[Human Neural Stem Cell Line],84,1,Edinburgh,TRUE,TRUE,FALSE,FALSE
G1-2-1-1,G1-84-32-238,G1,238,[Isogenic Gene Cell Line],32,1,UCL,FALSE,FALSE,FALSE,TRUE
G10-1,G10-228,G10,228,[Human Feotal Primary Tissue],G10,1,Edinburgh,TRUE,TRUE,TRUE,TRUE
G10-1-1,G10-228-322,G10,322,[Human Neural Stem Cell Line],228,1,Edinburgh,FALSE,FALSE,TRUE,FALSE
G10-2,G10-71,G10,71,[Primary Tumour Tissue],G10,2,UCL,TRUE,TRUE,TRUE,TRUE
G10-2-1,G10-71-445,G10,445,[GBM Cell Line],71,1,Edinburgh,TRUE,FALSE,FALSE,FALSE
G10-2-1-1,G10-71-445-407,G10,407,[Engineered GBM Cell Line],445,1,Spain,FALSE,TRUE,FALSE,FALSE
G10-2-1-1-1,G10-71-445-407-323,G10,323,[Xenograph Derive Cell Line],407,1,UCL,FALSE,FALSE,FALSE,TRUE
G10-2-1-1-2,G10-71-445-407-124,G10,124,[Xenograph Derive Cell Line],407,2,UCL,TRUE,FALSE,TRUE,TRUE
